City,Restaurant
London,Wasabi
London,Bom Pecado
London,Bawaro
London,Jenny's
London,Tortilla Leadenhall Market
London,Punjabi Dhaba
London,GC Kitchen Takeaway
London,West Kebab
London,Dosa Sambal
London,The Surrey Docks
London,Amici Coffee Deli
London,Chopstix Noodle Bar
London,Reg N' Stop
London,Ming Chinese Takeaway
London,Gina's pizza and coffee
London,Priya Maamalas
London,itsu
London,Noughts And Croquettes
London,Vauxhall Food & Beer Garden
London,Asian Restaurant
London,Coconut Thai
London,Kitchen
London,Bert's Fish Bar
London,Pret A Manger
London,Zicaffe
London,Pret A Manger
London,Coach & Horses
London,Nan True Thai
London,Baba G Lebanese Grill
London,Thyme Bar and Grill
London,Sunrise Chinese Takeaway
London,The Sheaf
London,Itsu
London,Harmony Place Cafe
London,Sun Cafe
London,Nojo
London,La Pomodoro Traditionally Wood Fired Pizzas
London,Brixton Pound Cafe
London,Kastner & Ovens
London,Crumbs Desserts
London,Master Chef
London,Chaplins Deli
London,Cafe Marrone
London,Planet Organic
London,Za'ta
London,Ikea
London,Asmarino Cafe
London,The Nelson Arms
London,The Authentic Souvlaki
London,LEON – Eastcastle
London,Subway
London,Polu Poke
London,Otsumami Japan
London,Lo's Noodle Facotry
London,Aobaba
London,Lahori Tikka Masala
London,Neighbours Food Bar
London,Cafe Brera
London,The Living Room Club Cafe
London,Hulya's Cafe and Restaurant
London,The StillRoom
London,Oyster Rooms
London,Food Works Turkish Kitchen
London,White Horse Kebab House
London,Falafel Bar
London,Cafe Z
London,The Lordship Hub Cafe
London,First Stop Cafe
London,The Beef Kitchen
London,Serrana
London,Chipotle Mexican Grill
London,The Tempeh Man
London,Ocean Blue
London,Dhaka Biryani
London,Kar Woo
London,Kew Fish Bar
London,Star Nergiz
London,Chalet Cafe Kingsland Road
London,Nando's Kensal Rise
London,Waffle On
London,Amici Miei 2 Go
London,Rose & Crown
London,Crepeaffaire
London,Chippy
London,Cafe D'oro
London,Springbank
London,Buttercream Cake Boutique
London,The Crust Co.
London,Lituanica Beckton Restaurant
London,SIAM Eatery
London,Shawa Lebanese Grill
London,Zabardast
London,Double Bubble Cafe
London,Blue Tree Kitchen
London,Semz Cafe
London,Soor Lebanese Restaurant
London,X Burger House
London,Al-Hashim Khyber Restaurant
London,Wok Express
London,Abigails Cafe
London,Bagel Master
London,Itsu
London,London Best Kebab
London,Beiriso
London,Tortilla Southwark
London,Camden Tandoori Restaurant
London,Rebel Coffee
London,Sugahill Cafe
London,Izgara Kebab
London,Wing Wing
London,Burger Bros
London,Al Badar Fried Chicken and Curry Restaurant
London,Coco Di Mama
London,Kaleido Kingly
London,Marathons Kebab
London,Lebaneats
London,Wasabi
London,PAUL Jubilee Place
London,Tasty House
London,Wrap It Up! Holborn
London,Med wraps ltd
London,I Fratelli Fish & Chips Pizza
London,Yogland Fit Dessert & Espresso
London,Patch Cafe
London,Star Fish Bar
London,The Archive Cafe @ The Record Hall
London,The Detox Kitchen
London,Crushies
London,PastaMista
London,City Cafe 2
London,Lahore Flavours
London,Kebabish Hut
London,Ben's Cookies
London,The Gilpin's Bell
London,OshPaz
London,EAT. Eastcheap
London,Fuel NW8
London,The Bridge Cafe
London,Get Stuffed Cafe
London,Slice Finsbury
London,Kebabie
London,Latin Groove Kitchen
London,Coma Y Beba
London,Kebab Kid
London,Regal Fish Bar
London,Ritto's
London,BEAR (Soho)
London,Krispy Kreme London Bridge
London,Cafe le jardin
London,Le Petit Village Ltd
London,Planet Organic
London,Kokoro
London,Cafe Bon Takeaway
London,Itsu
London,Pasta Remoli
London,Crosstown Fitzrovia - Doughnuts & Coffee
London,Oasis
London,Guasacaca Mercato
London,Go Falafel - London
London,Gypsy Rose Cafe
London,Toll Gate
London,Pezzo Cafe
London,Upper Crust
London,Tortilla Soho
London,The Lighthouse Fish and Chicks
London,Buy & Bite Colindale
London,Good To Go
London,Itsu
London,Churros Buenos
London,The Stratford Kitchen
London,Pitha Ghor
London,EAT.
London,Grab & Go
London,Petit Blue Cafe
London,Top Taste
London,Micky's fish and charcoal grill restaurant
London,Mudchute Kitchen
London,Mutt's Nuts Donuts
London,Smashing Plates Wembley
London,The Wine Cellar Kentish Town
London,Pure
London,Benz Burgers
London,Lebaneats
London,Eat
London,Mamino
London,Watch House Roastery
London,Al's Place
London,Cafe Ole tooting
London,Pig and Whistle
London,Bread & Butter
London,Louisiana Chilli Shack
London,"Cable Bakery , Bar , Pizzeria and Coffee Roasters"
London,Wasabi Sushi & Bento
London,Eat
London,Qschicken
London,Golden Grill
London,"A taste of Greece, ARTOS&PITA"
London,Capital Kebab Takeaway
London,The Hudson Bay
London,Wrap It Up! Aldermanbury
London,T's Fried Scoop
London,Shish
London,Friends Cafe & Pizzeria
London,Maestro Cafe
London,Chilli Griddle
London,GAIL's Bakery (Gloucester Road)
London,Saucy Kipper
London,Veggie Pret
London,Crussh
London,Grub on the Green
London,Abokado
London,Avenue House Cafeteria
London,Wenlock Cafe
London,SOHO Coffee Co.
London,Chicken cottage - Holborn
London,Original Bagel & Sandwich
London,Gourmet Express
London,Piada Bar UK Limited
London,Itsu
London,Leonardo Caffe
London,Crosstown Doughnuts - Victoria Park Market
London,Secret Nicky's
London,Hot Pot
London,LEON - Fenchurch Street
London,Noxy Brothers - Burlington Arcade
London,Klatsch
London,Piadinabros
London,Lebanese Grill
London,Chipotle Mexican Grill
London,Dixy Fried Chicken
London,Enat Guada
London,Kape Barako
London,Orient Express Kebab
London,Coco Di Mama
London,LEON - Kensington High Street
London,Charcoal Grill
London,Wrap It Up! Crown Passage
London,Bella Napoli Pizzeria Eltham
London,The Deli
London,Itsu
London,Greggs
London,Madina Pizza
London,Cafe Relaxo
London,Fortune
London,No.86 Cafe
London,Big Gun
London,City Izakaya
London,Pizza Village
London,Black Sheep Coffee - Bow Lane
London,T4 Liverpool Street
London,New Noodle Bar
London,Canton
London,Liliana Coffee
London,Black Salt
London,Curry Den
London,Chinese Tapas House
London,The Caramel Tart Company
London,Roots
London,Tatami Ramen London
London,The Golden Lion
London,Smashing Plates London Bridge
London,Jen Cafe
London,Oseyo
London,Hanoi Pho Restaurant
London,Cafe Creme
London,Dragon City
London,Mermaid Fish & Chips
London,Oldstcafe
London,Plant-Based Pit Stop
London,Hotel Chocolat Westfield White City
London,Oh My Cod!
London,Momo Canteen
London,Aleena's Grill
London,The Thirsty Scholar
London,Orange Cafe
London,The Shed
London,Cafe La Viet
London,Jolly's Sandwich Bar
London,Sam's Kebabs
London,The Mill Cafe
London,Dallas Chicken & Ribs
London,Well & Fed
London,Fish & Chic
London,Oowee Vegan
London,Sugo
London,Khomali
London,The Station
London,Ruffies
London,Stir Cafe
London,Ates
London,Essence of Cake
London,The Fish & Chip Shop
London,Vertige cafe
London,El Gringo Chef
London,The Village Deli
London,Taboon
London,Uskudar Turkish Kitchen Kebab
London,Chun Easy Thai
London,Subway
London,La Ciclista
London,Wasabi
London,Chinese Food Tooting Market
London,Gulen Kebab
London,Sow Restaurant
London,Sicilian Goods Specialist
London,ProvenDough Deli+Bar
London,Jerk Centre
London,The Griff Inn
London,KenFish Town Fish & Chips
London,Eat. Wood St
London,Leones
London,Jusaka
London,Mineiro Cafe
London,Creams Cafe
London,Kape & Pan
London,Sarnis
London,Cantinho da Maya PitDog e Lanchonete
London,Mr. Meng
London,China City Buffet & Restaurant
London,Matters of Vinyl Importance London's Premier Vinyl Cafe
London,M&S Foodhall
London,Wasabi Bento & Sushi
London,Leo's Cafe & Restaurant
London,Domino's Pizza London - High Holborn
London,North St. Deli
London,Bansuri Dabeli
London,Yolo London Desserts
London,Vera Cruz
London,Spinach and Agushi Supper Club
London,Kokoro
London,Caledonian Kebabs And Burgers
London,Greenwich Kebab House
London,Chop'd Curzon Street
London,Istanbul Restaurant and Takeaway
London,The Best Kebab
London,New Dixie Grill Peckham
London,Wasabi Sushi & Bento
London,Crussh
London,Jones Dairy Cafe
London,Knowing Meat Knowing You
London,T4- Bubble Tea
London,Anthony's Delicatessen
London,Meera's Xpress
London,Kettle and Crust
London,Britannia Fish Bar
London,Eat
London,First Choice Cafe & Restaurant
London,The Halal Guys
London,Stretched & Fired
London,La Basque
London,Salvation in Noodles
London,Laurents St John's Wood
London,The Yhaal House
London,Pizza 2 Go
London,Dixy Chicken
London,Emparo Pizza
London,Burgess Park Cafe
London,Jon Smith Subs
London,Applecart Cafe
London,River Fish Bar
London,Oie Truly Thai
London,T.o.m Kebab House
London,Gail's Bakery
London,Sunjam Caribbean Restaurant
London,Greggs
London,Bubble And Squeak
London,Kata
London,Chef's Treat
London,Golden Grove Pub
London,Rainbow Bakery
London,ShakeTastic
London,Poppy's Thai 3
London,Tortilla Putney
London,Kaspa's
London,"Hotel Chocolat London, Moorgate"
London,Wasabi
London,Kirin Japanese Restaurant & Bar
London,Doughnut Time Notting Hill Store
London,Queen's Crescent Grill
London,Square Pie - Westfield White City
London,Ana's Croquetas
London,To Live Better
London,Klassik chicken
London,Machico
London,Strozzapreti
London,Welcome Inn Fish Bar
London,Wrap It Up! Monument
London,The Pizza Room - New Cross
London,Chicago Grill Plus
London,Silver Sea Chinese Takeaway
London,Subway
London,Banh Mi City
London,Coffee Berry
London,Piccolo Bar
London,New Eltham Cafe
London,Half Million
London,Tropical Spice
London,Sonora Cafe and Kitchen
London,The Pizza Club
London,Tasty Kebabs
London,Agi's Cafe Limited
London,The Thai Lion
London,Wowshee
London,Pret A Manger
London,Bricklayers Arms
London,Kebab And Wine
London,Benugo
London,Bank of Friendship
London,Assenheims 56
London,Marhaba Express
London,Deja Vu Bakery
London,Island Poke Camden
London,Five Buns
London,Hanoi Kitchen
London,Shuro Shirin
London,Art for arts sake cafe
London,Tossed
London,Supreme Fish Bar
London,Crepeaffaire Stratford
London,Coco di Mama
London,Hot Bread Cafe
London,Made in portugal delicatessen
London,Royal Docks Tandoori
London,Hummus Bros
London,"Hotel Chocolat London, Victoria Street"
London,Bellelounge
London,Dark & Light Coffee
London,EAT.
London,Bibimbap to Go
London,Tyson's Kitchen
London,Wrap It Up! Harbour Exchange
London,Napoli Pizza And Kebabs
London,Queens Coffee
London,Oriental Canteen
London,Golden Noodle
London,Wrap It Up! London Wall
London,Spice Villa
London,Original Patacon
London,Ocean View Cafe
London,Vital Ingredient
London,Perfect Fried Chicken
London,District
London,Wok & Go Tooting
London,Paul
London,Grill King
London,Al Farooq Kebabish
London,Renaissance Piano Centre and Cafe
London,Catania Pizzeria
London,Bar Caffe Ciao
London,The Kebab
London,Coco di Mama
London,Emporium
London,Tomatello
London,Moka House
London,Desi Khana
London,Panku Streetfood ASDA Clapham
London,Burgerwala
London,Dolcezza Bonhill
London,Food Dojo
London,Pala Kebab and Grill
London,Mama Restaurant
London,Mums Caribbean And English Cuisine
London,Edens Cottage
London,Fresh Fish & Chips
London,Le Delice
London,Vita Mojo
London,Abby's Grill Peri Peri (norbury Branch)
London,Windmill Fish Bar
London,House Of Chimney Cakes London
London,Scarpetta
London,Greggs
London,Guzzu Drinks
London,Brixton People's Kitchen
London,London Skolars Rugby League Club
London,Debaere
London,Jango Kitchen
London,Amala Chai
London,Pistachios in The Park
London,Skinners Cafe
London,The Doo Wop Chocolate Cafe
London,Dennis Chippy
London,Coco di Mama
London,Stir Woolwich
London,Bonnington Cafe
London,Domino's Pizza
London,Boston Pizza
London,Mai Hong
London,Napoli Pizzeria
London,Fries and More
London,Near & Far Cafe
London,The Chip Shop
London,Greenway East
London,Real Beijing
London,Fisherman's Hut
London,Han Long
London,Rainbo
London,Caspian Sea Fish Bar
London,Dan Dans Caribbean Restaurant
London,Temptation Coffee Bar
London,The Momo Shack
London,Black Sheep Coffee - Leadenhall
London,Cubanos
London,Eat
London,Kwispy Fried Chicken
London,Coco di Mama
London,Yaya Sushi
London,Ehla
London,Yllw Coffee
London,Cyclelab & Juicebar
London,Chelsea Burger
London,Coco di Mama
London,The Authentic Souvlaki
London,Sunshine International Arts Cafe
London,Other Side Fried
London,Cafe No 92
London,Vino’s Kebab
London,Yangs Noodle Bar
London,Masons fruit bar
London,Domino's Pizza
London,Butchies Earl's Court
London,Crown and Sceptre
London,The Berlin Doner LTD
London,Elite peri Peri
London,"Hotel Chocolat London, Islington (Angel)"
London,Waka
London,Ringo Magic Noodles
London,Simply Fresh to go
London,TASTE Restaurant
London,Eat
London,Jolly Bee Fish And Chips
London,Sandwich Plus
London,Redemption Roasters
London,PepeNero Pizza
London,Auguste Handmade
London,Davide's Kitchen
London,Millennium Pizza Bar
London,Wrap It Up! Victoria
London,Palm Greens
London,Momshad
London,Subway
London,Unique Pizza
London,Black Sheep Coffee - Principal Place
London,Silver Star
London,Eat
London,Redemption Roasters
London,Linis Cafe
London,The Little Kebab House
London,Mermaid Fish Bar
London,Tai Tip Mein
London,Vistreatz Afrofusion
London,Eat
London,Adriana's Cafe & Eatery
London,China Delight
London,Town Cafe & Bar
London,The Coffee & Cake Room
London,Pizza Go Go
London,Indelicious
London,Mangal Bhavan
London,Ooh Yes Fish Bar
London,Rooster's Grill
London,Happy Dumplings
London,Whitechapel Grind
London,Two Brothers Fish Bar & Kebab
London,Cafe Del Mundo
London,Caffe Nero
London,YHA London St Paul's Cafe & Bar
London,Cantina do gaucho
London,Metal Box Cafe
London,Workers' Dalston
London,LEON - Watling Street
London,Chicken Express
London,Yum yum
London,Grandpa Joe's Cafe @ The Chocolate Factory
London,Wasabi Waterloo Station
London,Chicken Cottage
London,Affinity Cafe
London,Friends Fast Food
London,Palm2 Event Space
London,Chan's Noodle Bar
London,Five Guys Kings Road
London,The Canary
London,Bermondsey Kitchen
London,Domino's Pizza
London,Veechu
London,New Sweet And Sour Takeaway
London,Ocean Fresh
London,Bubble Magik
London,Royal Fish Bar
London,Salim Spice
London,Pod
London,The Whitechapel Fried Chicken
London,Chop Chop Noodle Bar
London,Baba Souks
London,Fourchette Creole
London,Black Sheep Coffee - Plough Place
London,Fresh & Delicious Indian Takeaway
London,Moonlight Cafe
London,Domino's Pizza
London,The Log Cabin
London,Pret a Manger
London,Khan's Karahi
London,Coco di Mama
London,Doree
London,Dolcezza Alphabeta
London,Chicken Cottage
London,Secret Handshake Cafe
London,Morley's Fried Chicken
London,Survivor Caribbean Restaurant
London,The Crown Battersea
London,Yunique Tea
London,Wasabi
London,The Phoenix Chinese Takeaway
London,Pizza Go Go
London,Chennai Dosa
London,Sweet Liberty
London,Domino's Pizza
London,Codfather Fish and Chips
London,Taco Bell
London,Eat
London,Don's Hut
London,Zeytoun Turkish Grill
London,Burger Bar Republic
London,Sushi Haven
London,Noodle Time
London,"SOHO Coffee Co. O2 Centre, Finchley Road"
London,Amigos Burgers & Shakes
London,May's Chinese Cuisine
London,Papaz Peri Peri
London,The Shacklewell Arms
London,Golden Star
London,Brothers Kebabs
London,Subway
London,The Tasting Room Canary Wharf
London,Pepe's Piri Piri - Brick Lane
London,Tai Won Mein
London,Kung Food
London,2 Bro's
London,Noodles City
London,Cafe Verona
London,Bedrock Cafe
London,Pizzolo
London,Coffee Addict
London,Funky Bean
London,Yum Mee
London,The District
London,Brewdog
London,The Three Horseshoes
London,Gail's South End Green
London,Spring Way
London,Jerk And Jollof
London,Bubbleology
London,Morley's
London,Planet Organic
London,Thai Express
London,HOP Vietnamese
London,itsu
London,Grab Thai
London,The White Swan
London,Dj's Caribbean Takeaway
London,Little India
London,Treats Sandwich Bar
London,The Dogstar
London,Smashing Plates Canary Wharf
London,Corner Savoy
London,Joy's Chinese Restaurant
London,Tex Ann
London,The Charcoal Grill
London,Fish Lab
London,Cafe 4 You
London,Bagel King
London,Tung Kong
London,Papa John's Pizza
London,Domino's Pizza
London,Pooja Sweets & Savouries
London,Taberu
London,Cafe San Remo
London,Nando's Farringdon
London,Chop'd Long Acre
London,The Bhaji
London,Woody Grill
London,Wood Green Chinese Restaurant
London,Troy Bar
London,Famz Peri Peri
London,The Fresh Pizza Co
London,Original PFC
London,Bay's Fish Bar
London,Arsenal Tavern
London,Angel Delicatessen
London,Laziza Hut
London,Wimpey
London,Cummin Up
London,Laroash
London,May's Chinese Cuisine
London,Ultimate Jerk Centre
London,Pizza Verde
London,Tian Tsin
London,Pret a Manger
London,STAKEhaus
London,Hong Kong Garden
London,Fanny's Kebabs
London,Calabash
London,Chicken Cottage
London,XO Restaurant / Cafe House
London,Kebab Wrap
London,Nevin's Cafe
London,KFC London
London,Trinidad Roti Shop
London,Kebab Machine
London,Mcdonald's
London,The Brondes Age
London,Laveli Bakery
London,Redemption Roasters
London,The Spurstowe Arms
London,Pizza Hut
London,Karibbean Kitchen
London,Itto
London,Paya and Horse
London,The Right Plaice
London,Perfect Pizza
London,May Ling
London,Mimi Noodle House
London,Mike's Peckham
London,Gail's Kensal Rise
London,LEON
London,Grinders of London
London,Pret A Manger
London,Sushi Shop
London,Bella Napoli Pizzeria
London,Oliver's Fish & Chips
London,New Didar
London,Beijing House
London,Vero Caffe
London,Sing Way
London,Papillon Pizza
London,Bagels & Waffles
London,Morrisons Supermartet
London,Subway
London,Mevlana
London,The Original Fish And Chips
London,LEON - Notting Hill
London,Kebab Centre
London,The Best Kebab
London,Caffe Nero
London,Wood Oven Pizza
London,Falafel King
London,Chicken Palace
London,Smashing Plates Tooting
London,Yum Sing
London,Burrito Kitchen
London,Tops Pizza
London,City Sweet Centre
London,Young Cheng
London,East Ocean
London,Camden Coffee Co
London,Natoora Counter
London,Coco di Mama - Italian To Go - Victoria
London,Acai Berry The Amazon Boost - Chelsea
London,Delight Kebab House
London,Woody Grill
London,My Pasta Bar
London,Wok Inn
London,Coco di Mama - Italian to Go - Bow Lane
London,Wrap It Up!
London,Old Tree Daiwan Bee
London,Golden Delight
London,Over Under Coffee - Wandsworth
London,Department of Coffee & Social Affairs
London,Markfield Park Cafe
London,Cod Father London ltd
London,Farsi London Restaurant
London,Chelsea Bridge Lounge
London,Hung Tou
London,Camden Food Co.
London,Noodle King
London,Vesuvio Pizza
London,Meet Fresh
London,Wongs
London,Cafe Royale South Woodford
London,The Pasty Shop
London,The Dolphin
London,illy Caffe
London,Temple Bar
London,Joe & The Juice
London,HotPot Takeaway
London,Diyarbakir Kebab
London,Chozen Noodle
London,Red Planet Pizza
London,Kebabish Original
London,Upper Crust
London,Rotisserie Chicken
London,Chicken Palace
London,Railway Tavern
London,Far East Restaurant
London,Chicken Express
London,McDonald's
London,The Castle
London,Brown Eagle
London,Burger King
London,Best Quality Kebab
London,Gringos
London,Pak Hong Fish Bar & Chinese
London,City Noodles
London,KFC
London,Phi-Lac Noodle House
London,Speedy Noodle
London,Rasui Indian
London,Broad Walk Cafe
London,Waka
London,The Curry Club
London,Micky's Fish
London,May Mei Wok
London,Woody Grill
London,Rice N Spice
London,KFC London
London,Lotus Garden Chinese Restaurant
London,East Sandwich Plus
London,Dominos Pizza
London,Mr. Chans
London,The Ordnance Arms
London,LEON Horseferry
London,KFC London
London,Timo London
London,Selekt Chicken
London,SoBe
London,McDonald's
London,Klassy Kebabs
London,Bagel Factory
London,Archway Kebab House
London,McDonald's
London,Papa John's
London,KFC
London,Subway
London,Francino Pizza
London,McDonald's
London,Birleys
London,Coco di Mama
London,Mikos
London,Yummy Zone
London,Pizza On Demand
London,Mr Wu
London,Pizza Pronto
London,Pizza Hut
London,Golden House
London,Ikea
London,McDonald's Brent Cross
London,Sainsbury's
London,Chopstix
London,Eddie's Fish Bar
London,Domino's Pizza Fulham Broadway
London,Pukka Pizza
London,The Pasty Shop
London,Zam's Peri Peri
London,Pepe's Piri Piri
London,Bando Burgers
London,Fitness Poke
London,Oodles - Green Street - London
London,KFC
London,Lakeside Cafe
London,Burger King
London,Golden City Chinese Cuisine
London,Beijing Aroma
London,Planet Organic
London,The Real China
London,Barry's Fish Bar
London,Sonargaon Restaurant
London,The Roman Empire
London,Pizza Hut
London,Firezza Ltd
London,Pizza Hut
London,McDonald's Wandsworth Road
London,Diamond Chicken Pizza
London,GAIL's Bakery Guilford
London,Taco Bell
London,Chesters
London,Burger King
London,Janet's Bar
London,Hunger Cure Fish & Chip Kebab
London,KFC
London,Real China
London,KFC
London,KFC London
London,Domino's Pizza Wapping
London,Domino's Pizza Southall
London,Eat. The Real Food Company
London,Sake Sushi
London,New Shanghai Blues
London,Penton Street Coffee
London,Ultimate Pizza
London,The Pasty Shop
London,Domino's Pizza
London,Chinese Kitchen
London,KFC
London,Himalaya restaurant & take away
London,McDonald's
London,McDonald's
London,Jollibee
London,Catch Me
London,Hong Kong Buffet
London,Pizza Hut
London,Fat Boy Chinese
London,Sam's Chicken
London,Domino's Pizza West Ealing
London,Diana Fish Bar
London,MW Buffet
London,Modern Wing Chi Chef
London,Firezza
London,McDonald's
London,Hong Kong Buffet
London,Milano's Pizza And Chicken
London,Mi Casa Burritos
London,Delice De France
London,G-A-Y Bar
London,Pizza Hut Delivery
London,Mi Casa Burritos
London,Mi Casa Burrito
London,Cafeteria
London,KFC London
London,Bain-Marie
London,Green Bean Boost
London,Jam Coffee House
London,Down Town Chinese
London,Espresso Bar
London,Miso Honey
London,The Slug @ Wimbledon
London,Coffee Republic
London,Agora The Great Deli
London,The Larder
London,Sam's Cupcakes
London,Cafe Family
London,Pan Tomaca
London,Coco di Mama Wood Lane
London,Fresh Coffee
London,Ji
London,Marmaris Pizza Kebab
London,The Larder Cafe @ Barley Mow Centre
London,St Clairs Kitchen
London,The Coffee Shop
London,Fat Baby London
London,Chp
London,Tagine 2 Go
London,Pub
London,Crussh Fit Food & Juice Bars
London,Wolfie's Hackney Ltd
London,Pizza Pierco
London,Shoop
London,Cafe Santiago
London,Yam Yam bubble Waffles
London,Hush Hush Chefs
London,Indigos Hive
London,Just Chips
London,Cafe GEC
London,Caffe Monza London ltd
London,L'Elysee Express
London,LEON Jubilee Place
London,Diana's Kitchen
London,Velvet PUFFS
London,Henny's
London,La Bebe
London,Tra Garden Bubble Tea
London,Saucy Soca Cafe
London,Shuro Shrin
London,Good as gold
London,Pepe's Piri Piri Croydon
London,YHA London Central Cafe & Bar
London,Bema Eats
London,Broomfield Cafe & Bar
London,Espressino
London,Mae J's Cafe
London,T4
London,Mike sandwich bar
London,Feel Greek
London,Seed Kitchen
London,The Manette Cafe
London,Brews Coffee
London,The Douglas Fir
London,Timeless Bar & Kitchen
London,Glass House Brick Lane
London,Good To Go
London,George Farha Cafe
London,Trendos Cafe
London,Dash
London,Ethiopian Vegetarian Food
London,The Clink Charity
London,The Garage
London,Fresh Juice
London,Court in the Square
London,Gastronomica
London,Aksular Kebab
London,Hi Thai
London,Pizze & Delizie Limited
London,Scandilicious
London,Yummy Paradise
London,Ditto Coffee Limited
London,Bon
London,JFB Jerk Grill
London,Goswell Best Charcoal Grill
London,London Scottish Golf Club
London,Vantra Eden
London,Mighty Munch
London,Crush and Shake
London,Carpo
London,Rodgis
London,Pizza Bros
London,And Cake
London,The Hotdog Factory
London,Marvellous Greens And Beans
London,Milk
London,Bread & Butler
London,The Candi Donut Company
London,Deekenek
London,New York Hotdogs
London,Hollywood Hotdogs
London,City Pizzeria
London,Oye! Karachi Street Food
London,The Flippin Burger
London,Creams And Crumbs
London,Pasticceria Dolci
London,The Origin Thai
London,Plant Based Pit Stop - Soho
London,Kape Konnection
London,Rocoto Pepper
London,T4 Portobello
London,Lesbianini's
London,Tasties
London,"Hotel Chocolat London, Euston Train Station"
London,Big Eat
London,The Organic Yogi
London,Planet Organic
London,Butchies Camden
London,Yin Sheng Chinese Takeaway
London,Schnitz-n-fries
London,Perks & White
London,Perks & White
London,Louza
London,Sifu Bento
London,Nori Line
London,Dracula's Grill
London,Haus Of Grilled Cheese
London,Kendal's Cafe Bar
Birmingham,Grand Central Kitchen Birmingham
Birmingham,Paul at No 41
Birmingham,Old Dresser Cafe
Birmingham,Wok Chi Oriental Kitchen
Birmingham,Tiger Bites Pig
Birmingham,The Beeches Hungry Horse
Birmingham,Ristorante Caffe' Gustami
Birmingham,Merrymaid Bar & Grill
Birmingham,The Meat Shack
Birmingham,Wrapchic
Birmingham,Rudy's Pizza Napoletana - Birmingham
Birmingham,the Hylton Cafe
Birmingham,Hen and Chickens
Birmingham,Savanna Restaurant
Birmingham,Hall Green Toby Carvery
Birmingham,Blue Nile Restaurant
Birmingham,Tamu Cafe
Birmingham,Walkabout
Birmingham,Treatz
Birmingham,Dads Lane Fish Bar
Birmingham,Original Frying Pan
Birmingham,Kimchi Korean Restaurant
Birmingham,The Indian Streatery Express
Birmingham,Lebanese Munch
Birmingham,The Bristol Pear
Birmingham,La Vera
Birmingham,Harborne Stores
Birmingham,Digby
Birmingham,Cosy Coffee Northfield
Birmingham,Tierra
Birmingham,The Veggie Chippy
Birmingham,Formosa Izakaya
Birmingham,Look In Takeaway Restaurant
Birmingham,Dezhou Style Braised Chicken
Birmingham,The Cod Pot
Birmingham,The Black Eagle Pub & Restaurant
Birmingham,Caneat
Birmingham,Marmaris Original Turkish Charcoal Grill
Birmingham,Velvet Music Rooms
Birmingham,Cafe Neo
Birmingham,The Bull
Birmingham,Dig Brew Co
Birmingham,Swan
Birmingham,Wasabi
Birmingham,German Doner Kebab
Birmingham,Soul Shack at The Sunflower Lounge
Birmingham,Ngopi UK
Birmingham,Mr Singh's
Birmingham,Tortilla Birmingham
Birmingham,Malaysian Delight
Birmingham,Toby Carvery
Birmingham,Hennessey's Bar
Birmingham,Dough and Bun
Birmingham,The Jewellers Arms
Birmingham,CafeSol
Birmingham,"The Billesley, Hungry Horse"
Birmingham,Abdul's Cafe and Diner
Birmingham,Monty's Deli Sandwich Bar
Birmingham,Sentinos
Birmingham,Lisa & Pann's Kitchen
Birmingham,Plant and Pulse
Birmingham,Soda Bread Cafe
Birmingham,The Floating Coffee Co
Birmingham,Peach Garden
Birmingham,Shawarma City
Birmingham,The Vine Inn
Birmingham,Hastingwood Cafe
Birmingham,Wychall Fish Bar
Birmingham,Bear and Staff
Birmingham,Shawarma Makan
Birmingham,Bistro 1837
Birmingham,Le Codfather
Birmingham,Paellas Elena
Birmingham,The Red Couch
Birmingham,Desi Flame
Birmingham,The Peking
Birmingham,The Rebel Chicken
Birmingham,Coffee #1
Birmingham,Istanbul Turkish BBQ
Birmingham,The Balti Room
Birmingham,Scott Arms
Birmingham,Olympic Cafe
Birmingham,Falafel Munch (Selly Oak)
Birmingham,Clearys irish bar
Birmingham,The Red Cow
Birmingham,Anatolia Cafe
Birmingham,Bhaizan's Grill
Birmingham,Lickey Kitchen
Birmingham,Kath's Cafe at Maypole
Birmingham,Wanted Burgers
Birmingham,Kopitiam
Birmingham,Blue Marlin Caribbean & English Take Away
Birmingham,The Crown Stonehouse Pizza & Carvery
Birmingham,Harborne Fish Bar
Birmingham,Peach Garden
Birmingham,The Lodge Cafe
Birmingham,The Barrel Bar And Grill
Birmingham,Only Foods and Sauces
Birmingham,Fazeley social
Birmingham,Cg's Cafe
Birmingham,Clare's Cafe
Birmingham,Deli Heaven
Birmingham,The Indian Eatery
Birmingham,The Charlie Hall
Birmingham,Azims Balti Restaurant
Birmingham,Bournville Cafe
Birmingham,The Marston Green tavern
Birmingham,Cafe Munch
Birmingham,Big John's Highgate
Birmingham,Mighty Bite Cafe
Birmingham,New Sum Ye
Birmingham,Khan Palace Cafe & Takeaway
Birmingham,Balti Bites
Birmingham,Golden Rice
Birmingham,Old Damascus (Coventry road)
Birmingham,Simarik
Birmingham,The Bierkeller Birmingham
Birmingham,Locked & Loaded
Birmingham,Jordan's Cafe
Birmingham,Tung Lok Restaurant
Birmingham,Sangam Sweet Centre
Birmingham,The Clock Cafe
Birmingham,Silver Hake Fish Bar and Restaurant
Birmingham,Kundun Sweets & Bakeries
Birmingham,Tyler's Kitchen
Birmingham,Ciao Bella Desserts - Selly Oak
Birmingham,The Big Fish
Birmingham,Popular Balti Tandoori
